NombreProducto,Precio,PasarelaPago,MarcaTarjeta,Banco,Region,Direccion,Correo
Reloj inteligente,514.2,Authorize.net,MasterCard,Banco del Pueblo,Norteamérica,901 Vía Antigua,user309@ficticio.com
Reloj inteligente,25.53,PayPal,Amex,Banco Ficticio,Sudamérica,197 Avenida Real,user2605@ejemplo.com
Cámara,1921.15,Authorize.net,Discover,Banco del Pueblo,África,901 Vía Antigua,user2382@dominio.com
Auriculares,659.6,Square,Maestro,Banco del Pueblo,Norteamérica,197 Avenida Real,user2492@ficticio.com
Smartphone,171.07,Stripe,MasterCard,Banco Nacional,Europa,901 Vía Antigua,user1619@dominio.com
Cámara,982.17,Apple Pay,Visa,Banco Ficticio,Asia,901 Vía Antigua,user3273@ficticio.com
Cámara,1515.66,PayPal,Maestro,Banco Nacional,Asia,901 Vía Antigua,user8209@ficticio.com
Impresora,817.83,PayPal,Maestro,Banco Internacional,Norteamérica,197 Avenida Real,user309@correo.com
Auriculares,551.56,PayPal,Amex,Banco Seguro,África,197 Avenida Real,user6630@ficticio.com
Monitor,613.92,Google Pay,Amex,Banco Ficticio,Oceanía,714 Calle Falsa,user6885@correo.com
Consola,1059.78,PayPal,Maestro,Banco del Pueblo,Norteamérica,363 Camino Nuevo,user7714@dominio.com
Tablet,1373.77,Square,Visa,Banco Ficticio,África,901 Vía Antigua,user819@dominio.com
Smartphone,1728.94,PayPal,MasterCard,Banco Seguro,Norteamérica,363 Camino Nuevo,user3444@dominio.com
Consola,1338.31,Authorize.net,Discover,Banco Internacional,Oceanía,197 Avenida Real,user8594@ficticio.com
Auriculares,282.35,Square,Amex,Banco Ficticio,Oceanía,197 Avenida Real,user5670@ficticio.com
Smartphone,211.58,Apple Pay,Discover,Banco del Pueblo,África,901 Vía Antigua,user3426@ficticio.com
Impresora,1717.41,Google Pay,Amex,Banco Internacional,Europa,363 Camino Nuevo,user6050@ejemplo.com
Impresora,1264.74,PayPal,Amex,Banco Internacional,África,197 Avenida Real,user197@dominio.com
Reloj inteligente,1397.02,PayPal,Amex,Banco Seguro,Norteamérica,197 Avenida Real,user3497@correo.com
Monitor,1966.52,PayPal,MasterCard,Banco Ficticio,Oceanía,714 Calle Falsa,user3884@ejemplo.com
Laptop,1831.12,Google Pay,Maestro,Banco Seguro,Asia,197 Avenida Real,user2184@ejemplo.com
Impresora,1839.0,Stripe,Discover,Banco del Pueblo,África,363 Camino Nuevo,user3369@dominio.com
Consola,829.07,Stripe,Visa,Banco del Pueblo,Oceanía,714 Calle Falsa,user4133@correo.com
Televisor,1234.71,Stripe,MasterCard,Banco Internacional,Norteamérica,363 Camino Nuevo,user7736@correo.com
Reloj inteligente,997.75,Google Pay,MasterCard,Banco Seguro,Sudamérica,901 Vía Antigua,user6905@ejemplo.com
Reloj inteligente,1707.3,PayPal,Maestro,Banco Ficticio,Asia,197 Avenida Real,user6091@ficticio.com
Smartphone,1640.81,Stripe,Discover,Banco del Pueblo,Oceanía,901 Vía Antigua,user1721@dominio.com
